奸	gaan1
䆶	zau1
㺁	nou5
㩒	gam6
揁	zing1
䜱	mun4
彔	luk6
眘	san6
粖	mut6
鄦	heoi2
怷	seot6
裹	gwo2
㙀	lau6
獇	goeng1
哳	zaat3
䤓	mung4
藖	haan4
䜤	hung6
㧙	pit3
㚓	loi4
䦜	ng4
𠽌	syut1
鏍	lo4
雇	gu3
鞌	on1
㑺	zeon3
䀒	cin1
𠫍	ai3
閧	hung6
䆈	zi6
䘌	nik1
㐱	can2
晽	lam4
驐	deon1
𢜪	nok6
孯	haan1
饀	tou4
迵	dung6
圉	jyu5
鳼	man4
㟉	lou4
桲	but6
嗤	ci1
㙫	cap1
䓮	mau6
䐩	goi1
剉	co3
䜙	ngam4
腁	pin4
㱱	wui6
䒨	si2
祂	taa1
䧕	wik6
戁	naan5
𠤖	me1
逜	ng6
啼	tai4
腂	leoi5
鮺	zaa2
癃	lung4
貇	han2
僩	haan5
䝖	zaau2
愻	seon3
楌	ngaan4
㻶	bat1
渤	but6
砵	but3
䭽	kwan4
㼝	wun2
燑	tung4
湷	ceoi4
刄	jan6
魎	loeng5
專	zyun1
侘	caa3
櫐	leoi5
䞊	seon3
蕵	syun1
叺	cek3
䊹	cin1
癢	joeng5
䰵	zi2
壭	si6
珝	heoi2
𥳾	gwan1
鵴	guk1
䦗	gwik1
𣏾	dak6
𣶺	ji4
糐	fu1
䄰	ngaa4
璢	lau4
亽	zaap6
甌	au1
炶	sim2
骹	haau1
礀	gaan3
寥	liu4
譵	deoi6
鼲	wan4
徭	jiu4
鱗	leon4
㠃	dik1
魿	ling4
崠	dung3
溣	leon6
䂪	haau1
糸	mik6
筷	faai3
訏	heoi1
垟	joeng4
鏣	syu3
憞	deoi6
𤇼	on1
岟	joeng2
䡅	ceon1
艵	ping1
萖	gun1
㩅	cau1
憚	daan6
㗟	zyu3
膡	jing6
䯻	gou3
䝵	bou6
煡	zeon6
䦿	zung1
滳	soeng1
舒	syu1
嚖	wai3
㰀	lai4
疦	kyut3
奪	dyut6
棇	cung1
触	zuk1
𦐒	ngai6
㖁	leon6
阺	dai2
䖩	bat6
饑	gei1
誷	mong5
堹	zung3
蘅	hang4
塙	kok3
趔	lit6
茂	mau6
䕊	taan4
揎	syun1
驣	tang4
㓧	gam1
鑂	fan3
嬴	jing4
減	gaam2
菻	lam4
羐	jau5
䁿	mak6
輐	wun6
徶	pit3
㻒	kwan5
䏳	zit3
氥	sai1
㬂	jyu4
㚹	maau4
𠹇	be1
䕝	cing1
肩	gin1
剷	caan2
㥝	mei5
㞶	man4
鑘	leoi4
黔	kim4
整	zing2
㞂	teoi2
㮼	sin3
猄	geng1
刉	gei1
䨦	pong4
翍	pei1
鈬	dok6
門	mun4
塇	syun1
渞	cau4
牣	jan6
䣓	lai4
嵋	mei4
𣎆	lo5
奷	cin1
㭘	gap3
渽	zoi1
帊	paa3
陲	seoi4
㱣	teoi2
䱞	noi6
嚀	ning4
甐	leon6
昷	wan1
𦛚	nam6
䠛	jiu4
泓	wang4
鸞	lyun4
翪	zung1
䳌	gyun1
蘪	mei4
𤧐	cau1
瀋	sam2
嚽	zyut3
𤤗	nei4
㔝	loeng5
郮	zau1
勓	faai3
覣	wai1
附	fu6
钄	laan4
洲	zau1
𢶠	saau4
𦻗	zeon3
𠃋	gwang1
餃	gaau2
鬟	waan4
峷	san1
䡇	jyut6
賩	cung4
焀	huk6
斏	loeng4
凳	dang3
航	hong4
硸	joek6
㘄	lang1
鋶	lau5
鄞	ngan4
䊛	saat3
䢖	jyut6
綏	seoi1
獽	joeng4
䲪	ji6
㻭	sat1
鎫	faan6
軆	tai2
䮅	jyut6
嶳	dei6
夀	sau6
睵	zoi1
㨕	jing4
兤	fong2
殭	goeng1
瞺	wui3
蒀	wan1
鯔	zi1
燬	wai2
褺	dip6
㼮	caai1
𦉢	ling4
𢏐	wang4
胡	wu4
峵	wing4
睉	co4
䰂	coi3
𩸘	gun2
梐	bai6
覑	pin2
炍	pun3
䯝	seoi5
漕	cou4
𧵓	ziu6
㥠	seoi1
䊎	hyun2
䰴	gat1
扣	kau3
䬐	jeoi4
䫻	jat6
㶎	waan4
臤	hin1
醐	wu4
𦵯	hat6
尫	wong1
䘫	jyu4
偮	zap1
汲	kap1
崻	zi6
䫘	hot6
䬒	sau1
嫁	gaa3
艛	lau4
舛	cyun2
錤	gei1
痮	zoeng3
涏	ting5
需	seoi1
嫻	haan4
怇	geoi6
𩅻	zyu3
㶰	ham4
簴	geoi6
楿	hoeng1
哞	mau4
榰	zi1
腈	cing1
𡡀	gyun3
籣	laan4
趝	gim3
㛎	leoi5
塓	mik6
訕	saan3
蕡	fan4
豛	jik6
𣶶	coi2
撎	ji3
儆	ging2
䛘	jam4
𦮂	si1
暁	hiu2
浯	ng4
𣗳	syu6
剻	fau4
䗻	zit3
䮄	jyun4
𣞁	wing4
鱪	syu2
㛝	bui3
萃	seoi6
腟	cat1
蔠	zung1
囹	ling4
顎	ngok6
㭼	taap3
鸑	ngok6
銑	sin2
啟	kai2
纔	coi4
襛	nung4
㸖	ceoi1
奅	paau3
鍼	zam1
餱	hau4
𤦧	zi1
䨫	mak6
蕹	ung3
翶	ngou4
穔	wong4
淎	fung2
㤇	ou3
㛷	gai1
㳨	zaat3
鯡	fei1
跅	tok3
湠	taan3
㵹	wun4
鎛	bok3
齗	ngan4
晷	gwai2
㜰	joek6
凐	jan1
䯹	cim1
膥	ceon1
榛	zeon1
挂	gwaa3
𦭵	joeng4
㑭	bei2
嚺	daap6
忰	seoi6
㸠	tiu5
𢵄	cou5
㔦	joeng5
咲	siu3
氖	naai5
硃	zyu1
蔔	baak6
埽	sou3
圖	tou4
㯧	ciu1
䡌	wang4
鰄	wai1
忑	tik1
瑀	jyu5
頝	haau1
䕺	cung4
兊	deoi3
䭱	bit6
秳	wut6
㔜	but6
霖	lam4
盱	heoi1
䗜	lau4
㻸	zam1
戠	zik1
奌	dim2
蓤	ling4
桫	so1
汮	gwan1
玵	ngam4
㢱	nei4
瀬	laai6
饄	tong4
窇	bok6
䙅	jiu1
搏	bok3
繊	cim1
欑	cyun4
璮	taan2
𧊅	gwaai2
㑮	wan4
𩧃	lai6
䱓	ting4
𡟶	ngo4
㝽	seoi2
塦	zan6
䚒	cong4
瘧	joek6
㙦	ce4
鏅	sau1
螦	sou3
𨪜	jan1
殛	gik1
葌	gaan1
杋	faan4
鴇	bou2
蔈	biu1
媶	jung4
殿	din6
匔	kung4
駨	seon1
鎐	jiu4
裪	tou4
䮰	zaak6
䝫	zok6
㮗	ging1
蘃	jeoi5
盅	zung1
慚	caam4
鐁	si1
㰼	sip3
礭	kok3
揮	fai1
𢣷	dik6
蜖	wui4
蹖	zung1
蝍	zik1
䨗	fau4
銃	cung3
嶊	zeoi2
䇃	zi6
宯	haau1
㕾	siu2
揾	wan3
媓	wong4
䟙	cit3
𩶉	pou5
靷	jan5
𤅀	jing4
𤕸	zong1
蠷	keoi4
隨	ceoi4
㑋	hung3
㣙	dik6
梑	dik6
塱	long5
㚖	gou2
郞	long4
濍	sung1
㙪	ai3
貗	geoi6
宬	sing4
瀽	zin2
䄣	suk6
㧈	jan5
䔓	heoi2
掾	jyun6
䍺	waan4
哲	zit3
鮖	sek6
䴴	tip3
朰	zaat3
邀	jiu1
慛	ceoi4
輻	fuk1
頞	aat3
嫓	pei3
歞	ngap6
䡬	maan6
㜶	min5
玪	gaam1
䴩	piu4
蠟	laap6
鄔	wu1
啱	ngaam1
踖	zik1
㴾	but6
豎	syu6
蝜	fu6
㹡	jyun4
譭	wai2
䴌	mung4
䰽	pui3
眉	mei4
䳝	pau2
𣑁	cung1
䅣	wong4
澖	haan4
宂	jung2
郠	gang2
䦰	gau1
憶	jik1
㖶	jin1
闀	hung6
𨳊	gau1
崁	ham3
嚑	fan1
崩	bang1
濥	jan5
㒴	gwat1
䇻	mei5
䫒	mun4
緍	man4
㽜	jyun2
𨯫	ngok6
㚵	dung1
祥	coeng4
毮	caau1
㗶	put3
鱰	cyu5
荹	bou6
㺄	jyu5
䪍	laan4
蓃	sau1
㼬	hang6
鬼	gwai2
𫂙	cuk1
蛕	wui4
䝬	zyu3
薋	ci4
㰝	ji5
䉗	jap1
舚	daam1
䘑	mak6
焇	siu1
䄋	jim2
䎄	hiu1
㬁	caap3
悘	ji1
㱆	hei1
椢	gui3
蟴	si1
譫	zim1
㱗	jau1
遆	tai4
䏷	hon6
䭯	but6
䐑	zip3
鮅	bit1
𡤃	gaan1
㑷	taai3
㫈	jyu1
㯀	syun6
䴏	jin3
蜅	fu2
鶊	gang1
尬	gaai3
厥	kyut3
䙜	fung4
兡	baak3
揷	caap3
邳	pei4
霓	ngai4
㬧	bou6
㽁	lik6
䆨	ning4
㭻	tong4
祘	syun3
䳳	seot1
嗩	so2
咉	joeng1
𡎘	jing1
嶹	dou2
梖	bui3
㤾	saam3
㵨	pei3
賏	jing1
倵	mou5
㖔	tan3
㾡	koek3
㴿	ding2
綃	siu1
盵	hei3
𥐥	faan4
甹	ping1
嘼	cau3
繖	saan3
枈	bei3
蒣	ceoi4
僃	bei6
諂	cim2
簵	lou6
帾	dou2
磺	wong4
杄	cin1
耎	jyun5
𣞼	joeng5
葨	wui1
饐	ji3
㴔	kap1
覥	tin2
穥	jyu6
綱	gong1
䐸	waak6
旪	hip3
倉	cong1
淳	seon4
憽	sung1
摜	gwaan3
甍	mang4
嵥	git6
鬴	fu2
㡚	kau1
丅	haa6
溤	maa5
䨞	jyu5
鶼	gim1
㝄	seon4
捾	wut6
主	zyu2
壌	joeng6
蘏	gwing2
楄	pin4
檪	lik1
拻	fui1
䢎	gei3
㩪	kit3
𢝵	fit1
鑀	oi3
跏	gaa1
𦙼	ci3
司	si1
噩	ngok6
抍	sing1
芇	min4
朮	seot6
粰	fu1
礸	caat3
慻	gyun3
䉢	sik1
𤀺	gaa1
燰	wui1
妒	dou3
聙	zing1
採	coi2
湼	nip6
荋	ji4
䯠	ou2
䊿	fu1
䲯	kap6
𦶥	ngo4
崟	jam4
彁	go1
酭	jau6
壼	kwan2
𠽊	man3
堻	zeon1
枾	si6
𨩄	juk1
綔	wu6
聫	lyun4
獮	sin2
瓰	fan1
䳆	baak6
玏	lak6
粣	saan2
䜶	gong3
㪋	hon6
𥥅	lung1
㒌	king4
𡸽	zik6
䅅	gwai1
肇	siu6
䰄	soi1
桝	git6
杁	jan4
漡	soeng1
嵒	ngaam4
茓	jyut6
䈧	wai5
髥	jim4
幈	ping4
牎	coeng1
涄	ping1
䚘	caang4
䐢	zo3
㗫	cit3
㧮	fat1
㧌	mou4
冊	caak3
䳓	lou5
咠	cap1
菃	keoi4
趡	ceoi2
濰	wai4
罒	muk6
堘	sing4
㮃	wai1
髑	duk6
鏓	cung1
瞛	cung1
䮕	zyut3
宸	san4
畱	lau4
楢	jau4
肒	wun6
䮎	hei3
譶	daap6
餯	fui3
㙎	wai1
肨	bun6
㠐	giu6
饎	ci3
岓	kei4
篴	dek6
䑓	toi4
䕈	sip3
寁	zaam2
跔	keoi1
籏	kei4
硉	leot6
幩	fan4
飳	tau2
瀂	lou5
䶑	tai3
桼	cat1
䑷	gin1
𣝗	wat6
𪃸	jip6
棭	jik6
㻲	leoi5
狥	seon1
驉	heoi1
䇧	zai6
漒	koeng4
嚁	dik6
㹲	haau1
瞫	sam2
哻	hon4
渁	jyun1
紘	wang4
㟊	fau4
稲	dou6
踏	daap6
㑣	laam4
䎔	fu1
艊	bok6
㷖	ziu3
嫷	to5
㼭	dim6
䀨	gwaat3
髭	zi1
冿	zin1
確	kok3
蝋	laap6
濶	fut3
𡉏	ji5
㨛	sim2
䗸	jung1
鍺	ze2
鐵	tit3
嶋	dou2
㾨	ji1
蟋	sik1
䮶	biu1
蒊	faa1
侤	haau2
𡝯	dai6
㜜	ngou6
矣	ji5
驔	tim5
㿭	caak3
瘨	din1
䕋	tong4
蔋	dik6
笱	gau2
𨋍	wan1
㖑	haai3
搤	ak1
䛷	jyun2
䱣	zeot1
䂰	laap6
爹	de1
欟	gun1
燆	hiu1
産	caan2
鱫	oi3
㣧	jan6
菓	gwo2
𡛓	daan1
雝	jung1
䇺	dau6
叉	caa1
鼘	jyun1
㹙	wang2
㼃	laap6
粗	cou1
竎	fu3
殬	dou3
鴠	daan3
丑	cau2
彲	ci1
黣	mui5
噑	hou4
薐	ling4
鶙	tai4
䛐	ci4
䬂	hyut3
楣	mei4
抻	can2
㬝	cang4
𧊲	cyun4
裀	jan1
䬡	zyu3
囩	wan4
戺	si6
蠶	caam4
舳	zuk6
䵜	nung5
蘺	lei4
䫙	song2
砘	deon6
莵	tou3
㡲	waan4
鱂	zoeng1
菈	laap6
菺	gin1
墬	dei6
膚	fu1
㿴	daap3
踒	wo1
褷	si1
滓	zi2
𦀡	jyu5
鉉	jyun5
愍	man5
䶙	geoi6
宐	ji4
䙭	hin1
𤪕	mou5
𨮝	deoi3
邙	mong4
睓	tin5
橿	goeng1
䙣	saap3
蚶	ham1
䍬	paang1
𨬫	hoi2
旳	dik1
瞳	tung4
䎉	wat1
㡢	maan6
晱	sim2
敜	nip6
性	sing3
蓲	jau1
箁	pau4
屉	tai3
䕙	zit6
樵	ciu4
戟	gik1
撔	wang6
𨗴	cim3
篒	sik6
筋	gan1
㐈	jap6
𠈄	waan6
鄩	cam4
䊫	ceoi2
𣶏	zip3
䲵	zoek3
㱵	fan3
㮭	gaam1
桳	ban6
㶥	gon1
樼	zeon1
珵	cing4
䒖	seon3
袍	pou4
䞹	wong4
榶	tong4
𡑕	sam1
蛌	gu2
㫸	zip3
𠶧	dim6
㜘	ze1
䰅	sou1
旿	ng5
㕎	hap6
溌	put3
爄	lai6
郵	jau4
赿	ci4
䍅	ling4
倔	gwat6
䊶	zan5
蠬	lung4
賜	ci3
熔	jung4
嗂	jiu4
塰	hoi2
雴	cap1
䱁	giu4
鉧	mou5
鑗	lei4
䘉	caam4
䤡	jim5
嘉	gaa1
贎	maan6
𡜻	saam3
碣	kit3
套	tou3
沋	jau4
𦌊	cuk1
諹	joeng4
䗎	jin1
塩	jim4
蚕	caam4
毷	mou6
匳	lim4
𤦬	nim6
珩	hang4
弽	sip3
淄	zi1
狐	wu4
𣳈	sin1
㥱	fei2
杖	zoeng6
冖	mik6
㼛	jing4
蠌	zaak6
悼	dou6
䅘	loi4
䭣	ci4
勤	kan4
㽑	taam4
纃	cai4
貺	fong3
㷌	zau2
淛	zit3
玜	gung1
遈	zik6
𢋊	jung1
鸉	joeng4
璭	gun2
埅	fong4
鷧	ji3
摪	zoeng1
紓	syu1
鱌	zoeng6
𧰊	tin4
𦣇	lo1
璑	mou4
䟖	tong3
䑲	zaau6
瑓	lin6
㼓	lim4
㬓	piu3
㕸	lap1
𩋘	haai4
㜽	zi2
逋	bou1
礪	lai6
䒹	loi6
駞	to4
㯙	zit6
椴	dyun6
㲋	coek3
讓	joeng6
繉	wan4
秨	zok6
麧	hat6
㤲	hip3
槵	waan6
虇	hyun2
滙	wui6
炎	jim4
䢆	jung2
璏	wai6
旊	fong2
㵙	hei2
㬟	fan1
䵏	lou6
鰴	fai1
仉	zoeng2
栤	bing6
源	jyun4
䇱	naap6
㯂	daai3
後	hau6
䁢	syun4
𤮨	lung4
䣞	ngok6
莪	ngo4
尟	sin2
恛	wui4
殎	hap1
䐤	caai1
謫	zaak6
𦶮	wan4
駰	jan1
蒦	wok6
䜂	hou4
皇	wong4
㶡	daai6
𤧟	ting4
鷓	ze3
継	gai3
統	tung2
檎	kam4
𠴕	miu2
豀	hai4
屩	goek3
村	cyun1
蕭	siu1
𨫟	loeng4
敍	zeoi6
煒	wai5
狊	gwik1
朲	jan4
慦	gau3
綈	tai4
衏	jyun2
腗	pei4
踀	cuk1
酑	jyu1
𠱘	ngaak6
鏯	song2
𣂼	kan4
罼	bat1
㴍	sing4
皠	ceoi3
堢	bou2
䛾	sou3
𦴩	seon3
䐻	gu1
壊	waai6
瓛	wun4
嬣	ning4
㜲	jing4
䒂	zoeng2
䢞	seot6
唂	guk1
竭	kit3
㬙	wai5
𤄄	gau1
敡	ji6
䇄	hat1
讜	dong2
㯢	zam6
𤤯	wing5
飁	zaap6
䋍	o1
齥	sit3
㛐	sou2
尲	gaam1
硘	wui4
堽	gong1
湉	tim4
闆	baan2
䚝	zyut6
萌	mang4
㴄	wang2
蒹	gim1
䈨	haan6
単	daan1
彪	biu1
攁	joeng5
𢿌	hing3
㶂	wong4
灞	baa3
𤥵	gaap3
據	geoi3
簒	saan3
䚄	luk6
袚	fat1
萟	ngai6
葏	zin1
㐃	zim1
㫖	zi2
㨩	zit6
枴	gwaai2
睰	maat3
缹	fau2
扯	ce2
㢴	sai1
㒧	lai6
袬	juk6
㓅	ting1
䅃	kung4
檹	ji1
烹	paang1
䩆	zaan2
騸	sin3
㷚	ting4
㣴	wong4
㖷	si4
曂	wong6
陣	zan6
裚	zai3
𠪊	lim4
𧙖	wu2
砉	waak6
僤	daan6
㤢	juk1
䅲	kei4
䧖	cin5
碍	ngoi6
瓺	coeng4
纝	leoi4
廞	jam1
黟	ji1
㜧	jyut3
䏉	sap1
嶰	haai5
竈	zou3
駴	haai5
耔	zi2
襍	zaap6
汱	gyun2
櫻	jing1
葡	pou4
㨸	maat3
䁸	nong4
隁	jin2
飊	biu1
鸙	joek6
䰋	faat3
鬿	kei4
㯓	taap3
䶫	jim6
鮱	lou5
腅	daam6
燈	dang1
鎯	long4
煂	haak1
𫋐	gung3
紳	san1
淽	zi2
躥	cyun1
㛖	so1
冮	gong1
仵	ng5
靲	kam4
䱵	jung1
㷅	caau2
㴛	zi3
腼	min5
㲼	ngaai6
劷	lik6
䢚	gang1
儀	ji4
𦹲	wan6
㰿	hei1
𥚃	leoi5
嘫	jin4
鯓	san1
蠯	pei4
咾	lou5
譃	jyu4
孮	cung4
埜	je5
䖊	ngaai6
庎	gaai3
㝻	gan2
䝾	fu3
䲲	gung1
𥈶	nam6
㓳	dai1
栮	ji5
屢	leoi5
曋	cam2
臥	ngo6
䐗	zyu1
懂	dung2
熣	seoi1
眊	mou6
羫	hong1
巃	lung4
簡	gaan2
膃	wat1
罪	zeoi6
貥	hong4
𥘵	taan2
咡	ji6
藝	ngai6
刀	dou1
延	jin4
𤲞	jyu4
篼	dau1
讒	caam4
𠴲	daap6
䱙	suk1
䎤	guk6
𥿢	wang4
㵾	cing3
刕	lei4
鶱	hin1
綂	tung2
芵	kyut3
䑟	wong4
䉖	ling4
凨	fung1
峩	ngo4
䠺	man6
纖	cim1
送	sung3
㝲	cam2
㳳	hak1
粯	jin6
聃	daam1
㔮	no4
厗	tai4
䑅	mang4
誢	jin6
瀠	jing4
蒥	lau4
䄌	zeoi3
蓄	cuk1
𢔓	fung6
㹍	dik6
坿	fu6
斘	sing1
㛨	koeng2
㤌	gam1
䣨	seon4
璩	keoi4
䪁	buk6
㥅	sau6
闗	gwaan1
萇	coeng4
譞	hyun1
芝	zi1
墂	biu1
㵫	nap6
磄	tong4
㜆	mai6
掦	tik1
婟	wu6
惣	zung2
翧	hyun1
夌	ling4
鎀	sau1
愔	jam1
䗵	goeng1
猧	wo1
竮	ping4
𤩅	syun4
䃨	koeng4
虴	zaak3
𠿫	saau4
謐	mat6
䞿	hin1
𤧭	pong4
駼	tou4
䚁	cam1
羷	lim5
䐟	hong2
繼	gai3
㔚	hau2
辪	sit3
詯	fui3
颰	bat6
漇	saai2
囑	zuk1
滵	mat6
䎊	lok6
漜	je5
𧝁	hyun1
陚	fu3
鈺	juk6
媢	mou6
咱	zaa1
洋	joeng4
𤫇	jin3
䨚	fat1
緲	miu5
𡲬	gwat6
艜	daai3
骲	baau6
䙰	lei4
狽	bui3
㽮	sing1
腶	dyun3
巫	mou4
嘻	hei1
旹	si4
鼷	hai4
韼	pung4
舤	faan4
䐄	haam6
悥	ji3
㰉	zeon1
丨	gwan2
螂	long4
踭	zaang1
彅	zin2
槀	gou2
逹	daat6
櫙	au1
飥	tok3
𣔙	hin1
負	fu6
銅	tung4
鮹	saau1
凡	faan4
開	hoi1
鏛	soeng4
㴒	jik6
䔥	siu1
墸	zyu3
䡼	ling4
䍓	wu6
㓜	jau3
堂	tong4
緐	faan4
𤵐	ng6
祱	seoi3
𤏸	zyu3
蘉	mong4
䭛	daam6
鑻	paan3
圤	pok3
蠏	haai5
蘑	mo4
㓛	gung1
䮓	zoek3
熆	hap6
㫱	naan5
䭲	ji2
茡	zi6
㡵	ling4
𨆪	jaang3
觤	gwai2
甜	tim4
睭	zau2
鐕	zaam1
㮪	kung4
䭍	wu4
䕘	ling4
幡	faan1
穽	zing6
閴	gwik1
酥	sou1
䊦	jit3
凮	fung1
䃳	laap6
媥	pin1
𡏾	gei3
帎	daam3
岴	keoi1
濳	cim4
禾	wo4
誡	gaai3
嘵	hiu1
滹	fu1
衁	fong1
塂	hong4
溊	bo1
陔	goi1
㥋	ji1
㫯	mou6
偧	zaa3
䠒	wu4
䁙	aan3
𨩋	wai6
騜	wong4
痢	lei6
姤	gau3
陟	zik1
壱	jat1
簢	man5
諬	kai2
𦲀	ji4
塛	leot6
胙	zou6
晳	sik1
䋼	ting1
逼	bik1
茯	fuk6
溵	jan1
畏	wai3
䠬	dang3
傌	maa6
䕳	mei4
茵	jan1
䤐	zam2
㼽	cong2
鱷	ngok6
𣾁	kei4
𠇲	jau1
熻	jap1
鴡	zeoi1
帳	zoeng3
𤣻	mut6
詡	heoi2
㐵	jyu4
騖	mou6
湅	lin6
坙	ging1
盞	zaan2
俋	jap1
姒	ci5
攸	jau4
睳	fui1
橋	kiu4
䪻	bin6
䶍	tai3
哘	hang4
佪	wui4
騑	fei1
獤	deon1
煰	cou3
痔	zi6
糵	jit6
褃	kang3
憹	nung4
㬘	suk1
䌓	faan4
殘	caan4
走	zau2
睬	coi2
䠃	loeng5
歱	zung2
毛	mou4
㦌	fat1
𡘾	zong6
𠹹	lan4
筙	loi4
𣈳	min5
仚	hin1
㓫	fu1
𦯀	ban6
椛	waa4
㫹	so3
惁	sik3
丿	pit3
耀	jiu6
𦹮	coi2
𣼵	lei6
嶶	mei4
溈	gwai1
䦻	zi2
嗺	ceoi1
䖢	miu4
紦	baa1
㺇	si1
䈙	zau6
㧦	hyun3
箇	go3
㜥	maai4
驇	ngai6
虈	hiu1
悔	fui3
鬬	dau3
鯘	neoi5
軥	keoi4
䲙	zit3
㦳	ngo5
㿢	jiu6
轥	leon6
甃	zau3
䩫	loeng5
璈	ngou4
㣟	hat1
嵢	cong1
渥	ak1
娫	jin4
𥐙	paat3
骫	wai2
𡧛	fu6
胒	nei6
䏊	lung4
棔	fan1
摖	cai3
姃	zing1
䊼	ci2
䑠	liu5
嵱	jung4
鸓	leoi5
恠	gwaai3
䣬	seon4
偱	seon1
泔	gam1
權	kyun4
㶼	zeon3
笤	tiu4
囈	ngai6
䪽	hou6
跩	jai6
頬	gaap3
諢	wan6
魸	pin3
䣚	lau4
䟼	mou5
彤	tung4
渆	jyun1
㮧	wu1
旕	jyu1
祟	seoi6
敪	zyut3
袟	dit6
瀿	faan4
䄟	ceoi3
䨖	zai3
䛆	zau6
㻣	sam6
䵐	cin2
㢡	zoeng2
䗓	cung1
𡵆	zi6
窲	caau4
𡲕	tai3
汰	taai3
旫	tiu1
艄	saau1
朷	dou1
篁	wong4
㳷	fui3
㽃	pun1
髰	tai3
䘽	ngai4
䚴	waat6
奣	wang2
嶥	gwai3
囸	jat6
䀷	gip3
咮	zau3
㼴	ngau5
圷	haa6
㶴	ci2
鶶	tong4
𧏾	nik1
蠅	jing4
䧶	kwai4
㦅	dit6
㬵	gaau1
䑞	seon3
𦿞	cung1
䵣	daat3
黳	ji1
蓑	so1
𨤍	ling4
㼌	jyu5
鈼	zok6
𢅖	lim4
莠	jau5
奀	ngan1
劯	zyu2
𡝱	fan1
郲	loi4
㢚	lou5
䡸	mit6
奬	zoeng2
瓘	gun3
㚍	fui2
辰	san4
鞦	cau1
昪	bin6
嵧	lau4
滲	sam3
𢜔	zi3
㤋	fan1
怨	jyun3
墖	taap3
䟣	ceot1
𦾡	mei5
賚	loi6
壄	je5
哇	waa1
㞮	ngai4
嚞	zit3
餕	zeon3
須	seoi1
挰	caang4
灑	saa2
𦶤	jyun2
宍	juk6
𧘂	cung1
窅	jiu2
穿	cyun1
麁	cou1
戴	daai3
𦅛	cam4
鏀	lou5
碈	man4
䪦	hung4
䊌	bei3
鼁	heoi3
䛎	hyut3
抣	gwan1
渒	bei1
牬	bui3
䁱	kau1
𦴥	seon1
鱚	hei1
鍹	syun1
攆	lin5
䢩	jyu6
䓁	dang2
㯕	sai1
阯	zi2
㪜	ceoi2
耠	hap6
簱	kei4
㢿	hau4
䛥	hat1
璙	liu4
襒	bit6
𤉋	zing1
鼯	ng4
湴	baan6
䖁	jik1
䫡	ngaam4
䜜	wai6
鍲	man4
撝	fai1
陁	to4
攳	cam4
晣	zai3
呏	sing1
䓻	kau3
圫	ou3
鴵	giu1
莁	mou4
㚞	sam2
勳	fan1
譑	giu2
壝	wai2
䠾	sim2
棈	sin3
幇	bong1
疺	fat6
㦜	wok6
綯	tou4
沄	wan4
攖	jing1
锳	joeng1
壵	zong3
𦲸	jyu5
𡌃	kok3
砲	paau3
絳	gong3
䊯	kong3
嬀	gwai1
霮	daam6
𥕛	gei1
䘪	cung1
㿙	pei3
図	tou4
媪	ou2
㽡	bei1
怟	dai3
驛	jik6
䀙	cai3
飼	zi6
榴	lau4
昮	cung6
㸁	hon3
㝮	ceoi3
乏	fat6
𠱃	nip1
㛞	lung6
䑼	zau1
檆	caam3
鏙	ceoi1
搪	tong4
䦉	sei3
龪	jan4
䗄	fu2
𪄴	faan4
䈔	gaa1
𣑐	diu3
糆	min6
䜿	syu6
殀	jiu2
氙	sin1
鷒	tyun4
𧗴	jung5
㛭	sik1
窛	kau3
笫	zi2
鑑	gaam3
柖	siu4
麽	mo1
粩	lou5
㐦	geoi2
囇	lai6
䮷	duk6
䘰	sin1
奞	seon3
璌	jan4
㗚	leot6
腷	bik1
薰	fan1
繌	zung1
鄧	dang6
畻	sing4
櫿	jing4
㞘	duk1
䁑	joeng4
鴐	gaa1
㟄	coeng4
䣽	zi1
凧	kei4
琟	wai4
䆛	zaa3
湁	cap1
牐	zaap6
呍	ngau4
犺	kong3
笎	jyun4
駵	lau4
寸	cyun3
粦	leon4
竁	ceoi3
祫	haap6
釚	kau4
冸	pun3
矁	cau2
鑳	gin6
蓌	co3
𣗏	fung1
䳘	ngo4
䇉	baak3
促	cuk1
縩	coi3
㼲	lip6
秒	miu5
䞀	hau6
蜞	kei4
橣	ning5
𡁆	lok1
淵	jyun1
槃	pun4
摨	zi6
尃	fu1
舴	zaak3
𤧬	wun3
曢	liu4
𧃸	fai1
泒	gu1
綘	fung4
砯	ping1
玘	hei2
揰	cung3
兆	siu6
岻	ci4
氍	keoi4
䔽	oi3
馵	zyu3
㺹	bin6
朑	sai3
䒜	ngau4
該	goi1
㨦	sung2
䇅	fat6
椣	din2
㾪	saang2
礒	ngai5
齈	nung4
矆	fok3
㖳	jyu5
繺	saat3
垪	bing6
菊	guk1
㸩	ngon4
鶟	dat6
嬐	cim1
䟘	hong6
㓡	fu2
瞨	pok3
篚	fei2
㘺	fat6
喚	wun6
𣆥	fong2
㢑	teoi4
櫤	zin3
鰏	bik1
檝	zip3
囔	nong4
讅	sam2
𣈲	mei4
姿	zi1
牢	lou4
䘙	wai6
鏽	sau3
窰	jiu4
塐	sou3
虨	ban1
䍙	mui4
𨮏	caan3
烄	gaau2
又	jau6
棄	hei3
㦛	jyu4
輴	ceon1
䇐	lei6
䥉	jyun1
㱯	ngoi4
秢	ling4
㚩	jim5
餬	wu4
鮵	dyut6
駐	zyu3
雥	zaap6
